kernel,N,d,time_ms,gflops
finegrained_qk,256,64,0.0215,780.19
register_p,256,64,0.0143,1175.53
async_doublebuf,256,64,0.0152,1103.76
final_optimized,256,64,0.0111,1506.57
tuned_A,256,64,0.0113,1489.45
reference_mma,256,64,0.0113,1489.45
finegrained_qk,512,64,0.0376,1783.29
register_p,512,64,0.0246,2730.67
async_doublebuf,512,64,0.0256,2621.44
final_optimized,512,64,0.0184,3653.57
tuned_A,512,64,0.0184,3640.89
reference_mma,512,64,0.0195,3449.26
finegrained_qk,1024,64,0.0709,3787.18
register_p,1024,64,0.0458,5866.16
async_doublebuf,1024,64,0.0492,5461.33
final_optimized,1024,64,0.0338,7943.76
tuned_A,1024,64,0.0325,8248.39
reference_mma,1024,64,0.0362,7423.55
finegrained_qk,2048,64,0.1381,7772.63
register_p,2048,64,0.0870,12336.19
async_doublebuf,2048,64,0.0932,11522.81
final_optimized,2048,64,0.0664,16163.02
tuned_A,2048,64,0.0622,17269.39
reference_mma,2048,64,0.0737,14563.56
finegrained_qk,256,128,0.0358,937.90
register_p,256,128,0.0205,1638.40
async_doublebuf,256,128,0.0209,1608.25
final_optimized,256,128,0.0174,1927.53
tuned_A,256,128,0.0164,2048.00
reference_mma,256,128,0.0165,2032.12
finegrained_qk,512,128,0.0664,2022.33
register_p,512,128,0.0379,3542.49
async_doublebuf,512,128,0.0379,3542.49
final_optimized,512,128,0.0316,4253.86
tuned_A,512,128,0.0287,4681.14
reference_mma,512,128,0.0290,4634.59
finegrained_qk,1024,128,0.1300,4128.25
register_p,1024,128,0.0737,7281.78
async_doublebuf,1024,128,0.0717,7489.83
final_optimized,1024,128,0.0596,9005.48
tuned_A,1024,128,0.0522,10280.16
reference_mma,1024,128,0.0532,10082.46
finegrained_qk,2048,128,0.0000,inf
register_p,2048,128,0.0000,inf
async_doublebuf,2048,128,0.0000,inf
final_optimized,2048,128,0.0000,inf
tuned_A,2048,128,0.0000,748288838313422260258803801054273133283901440.00
reference_mma,2048,128,0.0000,748288838313422260258803801054273133283901440.00
