kernel,Q_seqlen,KV_seqlen,d,time_ms,gflops
decode_s1,1,4096,128,0.0102,204.80
decode_s2,1,4096,128,0.0573,36.57
decode_total,1,4096,128,0.0676,31.03
flash_attn,1,4096,128,0.0061,341.33
decode_s1,4,4096,128,0.0111,757.64
decode_s2,4,4096,128,0.0591,141.93
decode_total,4,4096,128,0.0702,119.54
flash_attn,4,4096,128,0.0061,1365.33
decode_s1,16,4096,128,0.0102,3276.80
decode_s2,16,4096,128,0.0799,420.10
decode_total,16,4096,128,0.0901,372.36
flash_attn,16,4096,128,0.0061,5461.33
decode_s1,64,4096,128,0.0276,4854.52
decode_s2,64,4096,128,0.1062,1263.34
decode_total,64,4096,128,0.1339,1002.46
flash_attn,64,4096,128,0.0072,18724.57
decode_s1,256,4096,128,0.0962,5583.10
decode_s2,256,4096,128,0.1270,4228.13
decode_total,256,4096,128,0.2231,2406.03
flash_attn,256,4096,128,0.0174,30840.47
